year,id_,happy,hapmar,health,life,satfin,finalter,ballot,income16
2021,1,Pretty happy,PRETTY HAPPY,Good,Routine,More or less satisfied,Stayed same,Ballot c,.d:  Do not Know/Cannot Choose
2021,2,Pretty happy,.i:  Inapplicable,Good,.i:  Inapplicable,Pretty well satisfied,Better,Ballot b,$170000 OR OVER
2021,3,Pretty happy,.i:  Inapplicable,Fair,Exciting,Not satisfied at all,Better,Ballot a,.r:  Refused
2021,4,Not too happy,.i:  Inapplicable,Poor,.i:  Inapplicable,Not satisfied at all,Worse,Ballot b,.r:  Refused
2021,6,Very happy,.i:  Inapplicable,Excellent,Routine,Not satisfied at all,Better,Ballot a,.d:  Do not Know/Cannot Choose
2021,7,Very happy,.i:  Inapplicable,Good,Exciting,Pretty well satisfied,Stayed same,Ballot a,.d:  Do not Know/Cannot Choose
2021,8,Pretty happy,.i:  Inapplicable,Fair,.i:  Inapplicable,Not satisfied at all,Worse,Ballot b,$90000 TO $109999
2021,9,Pretty happy,.i:  Inapplicable,Good,Routine,Not satisfied at all,Worse,Ballot a,$90000 TO $109999
2021,10,Not too happy,PRETTY HAPPY,Good,.i:  Inapplicable,Not satisfied at all,Worse,Ballot b,$60000 TO 74999
2021,12,Pretty happy,.i:  Inapplicable,Fair,Exciting,More or less satisfied,Better,Ballot c,$8 000 TO 9 999
2021,13,Pretty happy,PRETTY HAPPY,Fair,Dull,Not satisfied at all,Better,Ballot a,$75000 TO $89999
2021,14,Pretty happy,.i:  Inapplicable,Excellent,Routine,More or less satisfied,Better,Ballot c,$40000 TO 49999
2021,15,Pretty happy,VERY HAPPY,Excellent,Exciting,Pretty well satisfied,Better,Ballot c,$170000 OR OVER
2021,16,Not too happy,.i:  Inapplicable,Fair,Routine,Pretty well satisfied,Stayed same,Ballot a,.d:  Do not Know/Cannot Choose
2021,17,Pretty happy,VERY HAPPY,Excellent,.i:  Inapplicable,Pretty well satisfied,Better,Ballot b,$170000 OR OVER
