"","happy","hapmar","health","finalter","satfin","income16","new_income_range"
"1","Not too happy","PRETTY HAPPY","Good","Worse","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"2","Pretty happy","PRETTY HAPPY","Fair","Better","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"3","Pretty happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"4","Pretty happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"5","Pretty happy","VERY HAPPY","Excellent","Worse","Not satisfied at all","$170000 OR OVER","90 000 to 170 000"
"6","Pretty happy","PRETTY HAPPY","Good","Stayed same","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"7","Not too happy","PRETTY HAPPY","Good","Stayed same","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"8","Pretty happy","VERY HAPPY","Good","Better","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"9","Very happy","VERY HAPPY","Excellent","Better","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"10","Not too happy","VERY HAPPY","Fair","Better","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"11","Pretty happy","PRETTY HAPPY","Good","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"12","Very happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"13","Not too happy","PRETTY HAPPY","Excellent","Stayed same","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"14","Pretty happy","VERY HAPPY","Fair","Better","Not satisfied at all","$110000 TO $129999","90 000 to 170 000"
"15","Pretty happy","PRETTY HAPPY","Good","Stayed same","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"16","Pretty happy","PRETTY HAPPY","Excellent","Worse","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"17","Pretty happy","PRETTY HAPPY","Excellent","Stayed same","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"18","Pretty happy","VERY HAPPY","Good","Better","Not satisfied at all","$130000 TO $149999","90 000 to 170 000"
"19","Not too happy","VERY HAPPY","Good","Better","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"20","Not too happy","PRETTY HAPPY","Fair","Worse","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
